yearID,teamID,lgID,playerID,G_all,GS,G_batting,G_defense,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,G_ph,G_pr
2020,KCA,AL,adamsch01,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0
2023,LAA,AL,adamsjo03,17,10,17,14,0,0,0,0,0,0,3,5,6,14,0,2,2
2024,LAA,AL,adamsjo03,11,9,11,11,0,0,0,0,0,0,1,4,6,11,0,1,0
2017,ATL,NL,adamsla01,85,13,85,41,0,0,0,0,0,0,27,11,7,41,0,51,9
2018,ATL,NL,adamsla01,26,2,26,8,0,0,0,0,0,0,2,2,5,8,0,14,7
2015,SLN,NL,adamsma01,60,42,60,46,0,0,46,0,0,0,0,0,0,0,0,16,0
2016,SLN,NL,adamsma01,118,69,118,86,0,0,86,0,0,0,0,0,0,0,0,39,0
2017,ATL,NL,adamsma01,100,69,100,72,0,0,59,0,0,0,13,0,0,13,0,29,0
2017,SLN,NL,adamsma01,31,8,31,9,0,0,3,0,0,0,6,0,0,6,2,22,0
2018,SLN,NL,adamsma01,27,12,27,15,0,0,15,0,0,0,0,0,0,0,0,12,0
2018,WAS,NL,adamsma01,94,59,94,63,0,0,48,0,0,0,15,0,1,16,3,32,0
2019,WAS,NL,adamsma01,111,71,111,79,0,0,79,0,0,0,0,0,0,0,0,33,1
2020,ATL,NL,adamsma01,16,13,16,2,0,0,2,0,0,0,0,0,0,0,11,3,0
2021,COL,NL,adamsma01,22,7,22,7,0,0,7,0,0,0,0,0,0,0,0,15,0
2021,TOR,AL,adamsri03,12,7,12,11,0,11,0,0,0,0,0,0,0,0,0,4,0
2021,WAS,NL,adamsri03,35,20,35,23,0,23,0,0,0,0,0,0,0,0,0,11,2
2022,WAS,NL,adamsri03,48,43,48,45,0,44,1,0,0,0,0,0,0,0,2,3,0
2023,WAS,NL,adamsri03,44,39,44,40,0,40,0,0,0,0,0,0,0,0,1,3,0
2024,WAS,NL,adamsri03,41,36,41,40,0,40,0,0,0,0,0,0,0,0,1,1,0
2015,CIN,NL,adcocna01,13,0,12,13,13,0,0,0,0,0,0,0,0,0,0,0,0
2023,SEA,AL,adcocty01,12,0,1,12,12,0,0,0,0,0,0,0,0,0,0,0,0
2024,NYN,NL,adcocty01,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
2017,DET,AL,adducji02,29,22,29,26,0,0,0,0,0,0,0,0,26,26,2,2,3
2018,DET,AL,adducji02,59,46,59,48,0,0,48,0,0,0,0,0,0,0,6,9,3
2019,CHN,NL,adducji02,2,1,2,1,0,0,0,0,0,0,0,0,1,1,0,1,0
2020,LAA,AL,adelljo01,38,33,38,38,0,0,0,0,0,0,0,4,34,38,0,0,1
2021,LAA,AL,adelljo01,35,35,35,35,0,0,0,0,0,0,25,0,19,35,0,0,0
2022,LAA,AL,adelljo01,88,71,88,84,0,0,0,0,0,0,69,0,15,84,1,13,1
2023,LAA,AL,adelljo01,16,15,17,15,0,0,0,0,0,0,2,7,9,18,1,1,0
2024,LAA,AL,adelljo01,130,117,130,123,0,0,0,0,0,0,0,4,119,123,4,8,2
2016,CIN,NL,adlemti01,13,13,12,13,13,0,0,0,0,0,0,0,0,0,0,0,0
2017,CIN,NL,adlemti01,30,20,27,30,30,0,0,0,0,0,0,0,0,0,0,0,0
2021,WAS,NL,adonjo01,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2022,WAS,NL,adonjo01,14,14,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0
2023,WAS,NL,adonjo01,12,10,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0
2024,WAS,NL,adonjo01,8,1,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0
2015,SFN,NL,adriaeh01,52,31,52,42,0,0,1,20,1,20,0,0,0,0,0,12,0
2016,SFN,NL,adriaeh01,40,10,40,25,0,0,0,7,7,13,0,0,0,0,0,21,0
2017,MIN,AL,adriaeh01,70,42,70,61,0,0,4,9,9,29,17,0,0,17,3,14,6
2018,MIN,AL,adriaeh01,114,95,114,106,0,0,10,5,28,64,5,0,0,5,1,8,7
2019,MIN,AL,adriaeh01,84,54,83,78,1,0,20,7,24,24,1,0,6,7,0,11,8
2020,MIN,AL,adriaeh01,44,24,44,37,1,0,0,5,23,9,0,0,0,0,1,6,5
2021,ATL,NL,adriaeh01,109,29,109,44,0,0,0,7,16,5,6,1,14,20,1,72,1
2022,ATL,NL,adriaeh01,6,4,6,6,0,0,0,4,1,1,0,0,0,0,0,0,0
2022,WAS,NL,adriaeh01,31,22,31,27,1,0,0,4,18,2,9,0,0,9,1,5,0
2023,ATL,NL,adriaeh01,5,2,5,3,0,0,0,0,0,3,0,0,0,0,0,3,0
2024,LAA,AL,adriaeh01,8,6,8,8,0,0,0,2,6,0,0,0,0,0,0,1,0
2015,SFN,NL,affelje01,52,0,47,52,52,0,0,0,0,0,0,0,0,0,0,0,0
2019,PIT,NL,agrazda01,15,14,14,15,15,0,0,0,0,0,0,0,0,0,0,0,0
2024,CIN,NL,aguiaju01,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0
2015,CLE,AL,aguilje01,7,5,7,4,0,0,4,0,0,0,0,0,0,0,3,2,0
2016,CLE,AL,aguilje01,9,1,9,7,0,0,7,0,0,0,0,0,0,0,2,3,0
2017,MIL,NL,aguilje01,133,55,133,78,0,0,77,0,1,0,0,0,0,0,3,66,0
2018,MIL,NL,aguilje01,149,123,149,133,0,0,132,0,5,0,0,0,0,0,2,20,0
2019,MIL,NL,aguilje01,94,52,94,61,0,0,60,0,2,0,0,0,0,0,0,35,0
2019,TBA,AL,aguilje01,37,26,37,15,0,0,15,0,0,0,0,0,0,0,13,9,0
2020,MIA,NL,aguilje01,51,50,51,31,0,0,31,0,1,0,0,0,0,0,20,1,0
2021,MIA,NL,aguilje01,131,116,131,114,0,0,113,0,2,0,0,0,0,0,4,15,0
2022,BAL,AL,aguilje01,16,12,16,6,0,0,6,0,0,0,0,0,0,0,8,3,0
2022,MIA,NL,aguilje01,113,106,113,59,0,0,57,0,4,0,0,0,0,0,52,7,0
2023,OAK,AL,aguilje01,36,29,36,24,0,0,24,0,0,0,0,0,0,0,9,7,0
2021,ARI,NL,aguilmi01,9,0,7,9,9,0,0,0,0,0,0,0,0,0,0,0,0
2022,LAA,AL,aguilry01,7,6,7,7,0,0,1,0,0,0,2,1,5,7,0,0,0
2015,ARI,NL,ahmedni01,134,116,134,129,0,0,0,0,0,129,0,0,0,0,0,6,3
2016,ARI,NL,ahmedni01,90,80,90,88,0,0,0,0,0,88,0,0,0,0,0,3,1
2017,ARI,NL,ahmedni01,53,41,53,48,0,0,0,0,0,48,0,0,0,0,0,7,0
2018,ARI,NL,ahmedni01,153,135,153,148,0,0,0,0,0,148,0,0,0,0,0,6,2
2019,ARI,NL,ahmedni01,158,155,158,158,0,0,0,0,0,158,0,0,0,0,0,2,0
2020,ARI,NL,ahmedni01,57,56,57,57,0,0,0,0,0,57,0,0,0,0,0,1,0
2021,ARI,NL,ahmedni01,129,118,129,127,0,0,0,0,0,127,0,0,0,0,0,6,0
2022,ARI,NL,ahmedni01,17,15,17,16,0,0,0,0,0,16,0,0,0,0,1,2,0
2023,ARI,NL,ahmedni01,72,56,72,65,0,0,0,0,0,65,0,0,0,0,3,10,0
2024,LAN,NL,ahmedni01,17,14,17,16,0,0,0,0,0,16,0,0,0,0,0,1,0
2024,SDN,NL,ahmedni01,2,2,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2024,SFN,NL,ahmedni01,52,50,52,51,0,0,0,0,0,51,0,0,0,0,0,0,1
2020,BAL,AL,akinke01,8,6,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0
2021,BAL,AL,akinke01,24,17,2,24,24,0,0,0,0,0,0,0,0,0,0,0,0
2022,BAL,AL,akinke01,45,1,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0
2023,BAL,AL,akinke01,24,1,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0
2024,BAL,AL,akinke01,66,0,0,66,66,0,0,0,0,0,0,0,0,0,0,0,0
2020,CIN,NL,akiyash01,54,47,54,52,0,0,0,0,0,0,36,21,0,52,1,5,0
2021,CIN,NL,akiyash01,88,32,88,61,0,0,0,0,0,0,9,48,4,61,0,37,4
2019,CIN,NL,alanirj01,8,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0
2019,SEA,AL,alanirj01,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2021,CIN,NL,alanirj01,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
2015,TOR,AL,alberan01,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2016,MIN,AL,alberan01,6,2,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0
2017,SEA,AL,alberan01,9,6,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0
2021,MIN,AL,alberan01,5,3,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
2015,TEX,AL,alberha01,41,26,41,36,0,0,0,24,7,8,0,0,0,0,4,3,4
2016,TEX,AL,alberha01,35,14,35,29,0,0,4,6,11,9,0,0,0,0,6,2,10
2018,TEX,AL,alberha01,13,7,13,11,0,0,0,4,3,5,0,0,0,0,0,2,0
2019,BAL,AL,alberha01,139,127,139,132,1,0,0,90,66,0,3,0,1,4,1,7,2
2020,BAL,AL,alberha01,54,53,54,53,0,0,0,52,5,0,0,0,0,0,1,1,0
2021,KCA,AL,alberha01,103,56,103,86,1,0,0,31,49,17,0,0,0,0,10,24,3
2022,LAN,NL,alberha01,73,38,73,66,10,0,3,37,20,5,0,0,1,1,5,17,1
2023,CHA,AL,alberha01,30,20,30,30,2,0,2,11,19,0,0,0,0,0,0,2,0
2015,CHA,AL,alberma01,30,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0
2016,CHA,AL,alberma01,58,1,4,58,58,0,0,0,0,0,0,0,0,0,0,0,0
2017,WAS,NL,alberma01,63,0,59,63,63,0,0,0,0,0,0,0,0,0,0,0,0
2018,MIL,NL,alberma01,34,0,31,34,34,0,0,0,0,0,0,0,0,0,0,0,0
2019,MIL,NL,alberma01,67,0,63,67,67,0,0,0,0,0,0,0,0,0,0,0,0
2017,ATL,NL,albieoz01,57,57,57,57,0,0,0,57,0,0,0,0,0,0,0,0,0
2018,ATL,NL,albieoz01,158,151,158,157,0,0,0,157,0,0,0,0,0,0,0,5,0
2019,ATL,NL,albieoz01,160,157,160,158,0,0,0,158,0,0,0,0,0,0,0,2,0
2020,ATL,NL,albieoz01,29,28,29,29,0,0,0,29,0,0,0,0,0,0,0,1,0
2021,ATL,NL,albieoz01,156,156,156,156,0,0,0,156,0,0,0,0,0,0,0,0,0
2022,ATL,NL,albieoz01,64,63,64,64,0,0,0,64,0,0,0,0,0,0,0,1,0
2023,ATL,NL,albieoz01,148,148,148,148,0,0,0,148,0,0,0,0,0,0,0,0,0
2024,ATL,NL,albieoz01,99,99,99,99,0,0,0,99,0,0,0,0,0,0,0,0,0
2015,DET,AL,albural01,67,0,6,67,67,0,0,0,0,0,0,0,0,0,0,0,0
2016,LAA,AL,albural01,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2017,CHA,AL,albural01,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
2017,KCA,AL,albural01,11,0,1,11,11,0,0,0,0,0,0,0,0,0,0,0,0
2019,MIN,AL,alcaljo01,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2020,MIN,AL,alcaljo01,16,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0
2021,MIN,AL,alcaljo01,59,0,4,59,59,0,0,0,0,0,0,0,0,0,0,0,0
2022,MIN,AL,alcaljo01,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2023,MIN,AL,alcaljo01,11,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0
2024,MIN,AL,alcaljo01,54,0,0,54,54,0,0,0,0,0,0,0,0,0,0,0,0
2015,CHN,NL,alcanar01,11,7,11,9,0,0,0,8,2,0,0,0,0,0,0,4,0
2016,OAK,AL,alcanar01,16,4,16,10,0,0,0,3,0,2,0,4,1,5,2,3,5
2017,CIN,NL,alcanar01,70,11,70,35,0,0,0,10,4,6,3,7,7,17,0,37,4
2024,CHN,NL,alcanke01,3,3,3,3,0,0,0,0,0,0,0,0,3,3,0,0,0
2016,OAK,AL,alcanra01,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
2017,OAK,AL,alcanra01,8,4,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0
2017,SLN,NL,alcansa01,8,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0
2018,MIA,NL,alcansa01,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0
2019,MIA,NL,alcansa01,32,32,31,32,32,0,0,0,0,0,0,0,0,0,0,0,0
2020,MIA,NL,alcansa01,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0
2021,MIA,NL,alcansa01,33,33,30,33,33,0,0,0,0,0,0,0,0,0,0,0,0
2022,MIA,NL,alcansa01,32,32,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0
2023,MIA,NL,alcansa01,28,28,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0
2020,DET,AL,alcanse01,10,7,10,10,0,0,0,6,6,0,0,0,0,0,0,0,1
2021,CHN,NL,alcanse01,89,64,89,75,1,0,0,22,3,55,0,0,0,0,0,12,3
2022,ARI,NL,alcanse01,71,49,71,65,0,0,0,18,35,20,0,0,0,0,4,3,7
2022,SDN,NL,alcanse01,22,8,22,21,0,0,0,7,6,8,0,0,0,0,1,1,3
2017,DET,AL,alcanvi01,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0
2018,DET,AL,alcanvi01,27,0,1,27,27,0,0,0,0,0,0,0,0,0,0,0,0
2019,DET,AL,alcanvi01,46,0,7,46,46,0,0,0,0,0,0,0,0,0,0,0,0
2024,LAA,AL,aldegsa01,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
2024,ARI,NL,alexabl01,61,48,61,44,0,0,0,17,8,20,0,0,0,0,16,4,5
2024,KCA,AL,alexacj01,4,3,4,3,0,0,0,0,3,0,0,0,0,0,1,0,1
2022,MIL,NL,alexaja01,18,11,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0
2015,KCA,AL,alexasc01,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2016,KCA,AL,alexasc01,17,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0
2017,KCA,AL,alexasc01,58,0,4,58,58,0,0,0,0,0,0,0,0,0,0,0,0
2018,LAN,NL,alexasc01,73,1,67,73,73,0,0,0,0,0,0,0,0,0,0,0,0
2019,LAN,NL,alexasc01,28,0,27,28,28,0,0,0,0,0,0,0,0,0,0,0,0
2020,LAN,NL,alexasc01,13,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0
2021,LAN,NL,alexasc01,18,0,16,18,18,0,0,0,0,0,0,0,0,0,0,0,0
2022,SFN,NL,alexasc01,17,4,1,17,17,0,0,0,0,0,0,0,0,0,0,0,0
2023,SFN,NL,alexasc01,55,8,1,55,55,0,0,0,0,0,0,0,0,0,0,0,0
2024,OAK,AL,alexasc01,45,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0
2019,DET,AL,alexaty01,13,8,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0
2020,DET,AL,alexaty01,14,2,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0
2021,DET,AL,alexaty01,41,15,4,41,41,0,0,0,0,0,0,0,0,0,0,0,0
2022,DET,AL,alexaty01,27,17,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0
2023,DET,AL,alexaty01,25,1,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0
2024,TBA,AL,alexaty01,23,9,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0
2021,TEX,AL,alexyaj01,5,4,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
2022,TEX,AL,alexyaj01,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2016,PHI,NL,alfarjo01,6,4,6,4,0,4,0,0,0,0,0,0,0,0,0,2,0
2017,PHI,NL,alfarjo01,29,29,29,29,0,28,2,0,0,0,0,0,0,0,0,0,0
2018,PHI,NL,alfarjo01,108,98,108,105,0,104,0,0,1,0,0,0,0,0,0,5,0
2019,MIA,NL,alfarjo01,130,113,130,119,0,118,1,0,0,0,0,0,0,0,1,14,0
2020,MIA,NL,alfarjo01,31,27,31,29,0,29,0,0,0,0,0,0,1,1,1,1,0
2021,MIA,NL,alfarjo01,92,76,92,82,0,61,3,0,0,0,21,0,0,21,0,13,1
2022,SDN,NL,alfarjo01,82,68,82,65,0,65,0,0,0,0,0,0,0,0,11,10,0
2023,BOS,AL,alfarjo01,8,5,8,6,0,6,0,0,0,0,0,0,0,0,1,0,1
2023,COL,NL,alfarjo01,10,7,10,2,0,2,0,0,0,0,0,0,0,0,7,3,0
2017,TOR,AL,alforan01,4,2,4,4,0,0,0,0,0,0,3,0,2,4,0,2,0
2018,TOR,AL,alforan01,13,6,13,11,0,0,0,0,0,0,7,1,3,11,1,2,3
2019,TOR,AL,alforan01,16,5,16,13,0,0,0,0,0,0,6,2,5,13,2,5,3
2020,PIT,NL,alforan01,5,4,5,5,0,0,0,0,0,0,1,4,0,5,0,0,1
2020,TOR,AL,alforan01,13,6,13,8,0,0,0,0,0,0,5,2,1,8,2,0,5
2021,PIT,NL,alforan01,49,34,49,39,0,0,0,0,0,0,32,6,1,39,0,12,0
2022,PIT,NL,alforan01,2,1,2,2,0,0,0,0,0,0,1,1,1,2,0,0,0
2018,ATL,NL,allarko01,3,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
2019,TEX,AL,allarko01,9,9,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0
2020,TEX,AL,allarko01,11,8,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0
2021,TEX,AL,allarko01,32,17,1,32,32,0,0,0,0,0,0,0,0,0,0,0,0
2022,TEX,AL,allarko01,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
